symbol,sector,market_cap
RELIANCE.NS,METAL ENERGY OIL & GAS SECTOR,Large
HDFCBANK.NS,BANK SECTOR,Large
INFY.NS,IT SECTOR,Large
ICICIBANK.NS,BANK SECTOR,Large
TCS.NS,IT SECTOR,Large
KOTAKBANK.NS,BANK SECTOR,Large
HINDUNILVR.NS,FMCG SECTOR,Large
LT.NS,INFRASTRUCTURE SECTOR,Large
AXISBANK.NS,BANK SECTOR,Large
BAJFINANCE.NS,BANK SECTOR,Large
ITC.NS,FMCG SECTOR,Large
SBIN.NS,BANK SECTOR,Large
BHARTIARTL.NS,MEDIA & TELECOM SECTOR,Large
ASIANPAINT.NS,CONSUMER DURABLES,Large
HCLTECH.NS,IT SECTOR,Large
TATASTEEL.NS,METAL ENERGY OIL & GAS SECTOR,Large
BAJAJFINSV.NS,BANK SECTOR,Large
WIPRO.NS,IT SECTOR,Large
MARUTI.NS,AUTO SECTOR,Large
ULTRACEMCO.NS,INFRASTRUCTURE SECTOR,Large
TECHM.NS,IT SECTOR,Large
TITAN.NS,CONSUMER DURABLES,Large
SUNPHARMA.NS,PHARMA/HEALTHACARE SECTOR,Large
M&M.NS,AUTO SECTOR,Large
HINDALCO.NS,METAL ENERGY OIL & GAS SECTOR,Large
HDFCLIFE.NS,BANK SECTOR,Large
JSWSTEEL.NS,METAL ENERGY OIL & GAS SECTOR,Large
DIVISLAB.NS,PHARMA/HEALTHACARE SECTOR,Large
INDUSINDBK.NS,BANK SECTOR,Large
GRASIM.NS,INFRASTRUCTURE SECTOR,Large
DRREDDY.NS,PHARMA/HEALTHACARE SECTOR,Large
POWERGRID.NS,METAL ENERGY OIL & GAS SECTOR,Large
ADANIPORTS.NS,INFRASTRUCTURE SECTOR,Large
NTPC.NS,METAL ENERGY OIL & GAS SECTOR,Large
TATAMOTORS.NS,AUTO SECTOR,Large
TATACONSUM.NS,FMCG SECTOR,Large
NAUKRI.NS,IT SECTOR,Large
SBILIFE.NS,BANK SECTOR,Large
BAJAJ-AUTO.NS,AUTO SECTOR,Large
CIPLA.NS,PHARMA/HEALTHACARE SECTOR,Large
BRITANNIA.NS,FMCG SECTOR,Large
BPCL.NS,METAL ENERGY OIL & GAS SECTOR,Large
APOLLOHOSP.NS,PHARMA/HEALTHACARE SECTOR,Large
ONGC.NS,METAL ENERGY OIL & GAS SECTOR,Large
ADANIENT.NS,METAL ENERGY OIL & GAS SECTOR,Large
GODREJCP.NS,FMCG SECTOR,Large
EICHERMOT.NS,AUTO SECTOR,Large
DABUR.NS,FMCG SECTOR,Large
HEROMOTOCO.NS,AUTO SECTOR,Large
PIDILITIND.NS,CHEMICAL SECTOR,Large
HAVELLS.NS,CONSUMER DURABLES,Large
ICICIGI.NS,BANK SECTOR,Large
COALINDIA.NS,METAL ENERGY OIL & GAS SECTOR,Large
SRF.NS,CHEMICAL SECTOR,Large
AMBUJACEM.NS,INFRASTRUCTURE SECTOR,Large
IOC.NS,METAL ENERGY OIL & GAS SECTOR,Large
GAIL.NS,METAL ENERGY OIL & GAS SECTOR,Large
MARICO.NS,FMCG SECTOR,Large
SHRIRAMFIN.NS,BANK SECTOR,Large
MOTHERSON.NS,AUTO SECTOR,Large
ICICIPRULI.NS,BANK SECTOR,Large
LTIM.NS,IT SECTOR,Large
BEL.NS,DEFENCE SECTOR,Large
TATAPOWER.NS,METAL ENERGY OIL & GAS SECTOR,Large
CHOLAFIN.NS,BANK SECTOR,Large
TRENT.NS,CONSUMER DURABLES,Large
DLF.NS,INFRASTRUCTURE SECTOR,Large
INDUSTOWER.NS,MEDIA & TELECOM SECTOR,Large
SIEMENS.NS,Industrial Equiments,Large
INDIGO.NS,INFRASTRUCTURE SECTOR,Large
HDFCAMC.NS,BANK SECTOR,Large
JINDALSTEL.NS,METAL ENERGY OIL & GAS SECTOR,Large
PFC.NS,BANK SECTOR,Large
BANKBARODA.NS,BANK SECTOR,Large
RECLTD.NS,BANK SECTOR,Large
BOSCHLTD.NS,AUTO SECTOR,Large
HINDZINC.NS,IT SECTOR,Large
TVSMOTOR.NS,AUTO SECTOR,Large
HAL.NS,DEFENCE SECTOR,Large
POLYCAB.NS,CONSUMER DURABLES,Large
UNITDSPR.NS,FMCG SECTOR,Large
SBICARD.NS,BANK SECTOR,Large
ABB.NS,Industrial Equiments,Large
MANKIND.NS,CHEMICAL SECTOR,Large
CANBK.NS,BANK SECTOR,Large
NESTLEIND.NS,FMCG SECTOR,Large
PNB.NS,BANK SECTOR,Large
SHREECEM.NS,INFRASTRUCTURE SECTOR,Large
VEDL.NS,METAL ENERGY OIL & GAS SECTOR,Large
ZYDUSLIFE.NS,PHARMA/HEALTHACARE SECTOR,Large
ADANIENSOL.NS,METAL ENERGY OIL & GAS SECTOR,Large
ADANIGREEN.NS,METAL ENERGY OIL & GAS SECTOR,Large
ATGL.NS,METAL ENERGY OIL & GAS SECTOR,Large
DMART.NS,RETAIL TRADE,Large
IRFC.NS,BANK SECTOR,Large
JIOFIN.NS,BANK SECTOR,Large
JSWENERGY.NS,METAL ENERGY OIL & GAS SECTOR,Large
LICI.NS,BANK SECTOR,Large
LODHA.NS,INFRASTRUCTURE SECTOR,Large
UNIONBANK.NS,BANK SECTOR,Large
VBL.NS,CONSUMER DURABLES,Large
UPL.NS,CHEMICAL SECTOR,Mid
PEL.NS,BANK SECTOR,Mid
JUBLFOOD.NS,CONSUMER DURABLES,Mid
VOLTAS.NS,CONSUMER DURABLES,Mid
PIIND.NS,CHEMICAL SECTOR,Mid
MPHASIS.NS,IT SECTOR,Mid
IREDA.NS,MEDIA & TELECOM SECTOR,Mid
AUBANK.NS,BANK SECTOR,Mid
LUPIN.NS,PHARMA/HEALTHACARE SECTOR,Mid
COLPAL.NS,FMCG SECTOR,Mid
AUROPHARMA.NS,PHARMA/HEALTHACARE SECTOR,Mid
ACC.NS,INFRASTRUCTURE SECTOR,Mid
IGL.NS,METAL ENERGY OIL & GAS SECTOR,Mid
BALKRISIND.NS,AUTO SECTOR,Mid
BHARATFORG.NS,AUTO SECTOR,Mid
CONCOR.NS,INFRASTRUCTURE SECTOR,Mid
BANDHANBNK.NS,BANK SECTOR,Mid
PAGEIND.NS,CONSUMER DURABLES,Mid
GODREJPROP.NS,INFRASTRUCTURE SECTOR,Mid
ASTRAL.NS,CONSUMER DURABLES,Mid
AARTIIND.NS,CHEMICAL SECTOR,Mid
TATATECH.NS,PHARMA/HEALTHACARE SECTOR,Mid
ASHOKLEY.NS,AUTO SECTOR,Mid
ALKEM.NS,PHARMA/HEALTHACARE SECTOR,Mid
HINDPETRO.NS,METAL ENERGY OIL & GAS SECTOR,Mid
PETRONET.NS,METAL ENERGY OIL & GAS SECTOR,Mid
FEDERALBNK.NS,BANK SECTOR,Mid
MUTHOOTFIN.NS,BANK SECTOR,Mid
BIOCON.NS,PHARMA/HEALTHACARE SECTOR,Mid
MFSL.NS,BANK SECTOR,Mid
TORNTPHARM.NS,PHARMA/HEALTHACARE SECTOR,Mid
DIXON.NS,CONSUMER DURABLES,Mid
IDFCFIRSTB.NS,BANK SECTOR,Mid
CUMMINSIND.NS,INFRASTRUCTURE SECTOR,Mid
COFORGE.NS,IT SECTOR,Mid
PATANJALI.NS,PHARMA/HEALTHACARE SECTOR,Mid
LICHSGFIN.NS,BANK SECTOR,Mid
OFSS.NS,IT SECTOR,Mid
PHOENIXLTD.NS,BANK SECTOR,Mid
SOLARINDS.NS,CONSUMER DURABLES,Mid
INDHOTEL.NS,INFRASTRUCTURE SECTOR,Mid
M&MFIN.NS,BANK SECTOR,Mid
TORNTPOWER.NS,CHEMICAL SECTOR,Mid
EXIDEIND.NS,AUTO SECTOR,Mid
INOXWIND.NS,PHARMA/HEALTHACARE SECTOR,Mid
GLENMARK.NS,PHARMA/HEALTHACARE SECTOR,Mid
ABFRL.NS,CONSUMER DURABLES,Mid
BHEL.NS,Industrial Equiments,Mid
GMRAIRPORT.NS,INFRASTRUCTURE SECTOR,Mid
LTF.NS,BANK SECTOR,Mid
UNOMINDA.NS,FMCG SECTOR,Mid
LAURUSLABS.NS,PHARMA/HEALTHACARE SECTOR,Mid
PERSISTENT.NS,IT SECTOR,Mid
ABCAPITAL.NS,BANK SECTOR,Mid
RVNL.NS,FMCG SECTOR,Mid
CROMPTON.NS,CONSUMER DURABLES,Mid
DALBHARAT.NS,INFRASTRUCTURE SECTOR,Mid
MAZDOCK.NS,DEFENCE SECTOR,Mid
IDEA.NS,MEDIA & TELECOM SECTOR,Mid
IRCTC.NS,INFRASTRUCTURE SECTOR,Mid
NMDC.NS,METAL ENERGY OIL & GAS SECTOR,Mid
OBEROIRLTY.NS,INFRASTRUCTURE SECTOR,Mid
SAIL.NS,METAL ENERGY OIL & GAS SECTOR,Mid
TATACOMM.NS,MEDIA & TELECOM SECTOR,Mid
APLAPOLLO.NS,METAL ENERGY OIL & GAS SECTOR,Mid
BANKINDIA.NS,BANK SECTOR,Mid
BSE.NS,INVESTMENTS BANKS/BROKERS,Mid
CGPOWER.NS,ELECTRIC PRODUCTS,Mid
DELHIVERY.NS,TRANSPORTATION,Mid
INDIANB.NS,BANK SECTOR,Mid
JSL.NS,METAL ENERGY OIL & GAS SECTOR,Mid
KALYANKJIL.NS,RETAIL TRADE/JEWELLER,Mid
KPITTECH.NS,IT SECTOR,Mid
MAXHEALTH.NS,INSURANCE,Mid
NHPC.NS,ELECTRIC UTILITIES,Mid
NYKAA.NS,RETAIL TRADE,Mid
OIL.NS,METAL ENERGY OIL & GAS SECTOR,Mid
PAYTM.NS,BANK SECTOR,Mid
POLICYBZR.NS,IT SECTOR,Mid
PRESTIGE.NS,INFRASTRUCTURE SECTOR,Mid
SJVN.NS,ELECTRIC UTILITIES,Mid
SONACOMS.NS,AUTO SECTOR,Mid
SUPREMEIND.NS,PRODUCT MANUFACTURING,Mid
TATAELXSI.NS,IT SECTOR,Mid
TIINDIA.NS,METAL ENERGY OIL & GAS SECTOR,Mid
YESBANK.NS,BANK SECTOR,Mid
FORTIS.NS,CONSUMER DURABLES,Small
BLUESTARCO.NS,CHEMICAL SECTOR,Small
IEX.NS,METAL ENERGY OIL & GAS SECTOR,Small
IIFL.NS,CHEMICAL SECTOR,Small
TITAGARH.NS,IT SECTOR,Small
TATACHEM.NS,CHEMICAL SECTOR,Small
NBCC.NS,METAL ENERGY OIL & GAS SECTOR,Small
MCX.NS,BANK SECTOR,Small
SYNGENE.NS,PHARMA/HEALTHACARE SECTOR,Small
MANAPPURAM.NS,BANK SECTOR,Small
MGL.NS,METAL ENERGY OIL & GAS SECTOR,Small
PNBHOUSING.NS,MEDIA & TELECOM SECTOR,Small
PPLPHARMA.NS,BANK SECTOR,Small
BSOFT.NS,IT SECTOR,Small
CHAMBLFERT.NS,CHEMICAL SECTOR,Small
KAYNES.NS,PHARMA/HEALTHACARE SECTOR,Small
GRANULES.NS,PHARMA/HEALTHACARE SECTOR,Small
HINDCOPPER.NS,METAL ENERGY OIL & GAS SECTOR,Small
BDL.NS,BANK SECTOR,Small
NATIONALUM.NS,METAL ENERGY OIL & GAS SECTOR,Small
RBLBANK.NS,BANK SECTOR,Small
ANGELONE.NS,INVESTMENTS BANKS/BROKERS,Small
CAMS.NS,IT SECTOR,Small
CDSL.NS,INVESTMENTS BANKS/BROKERS,Small
CESC.NS,ELECTRIC UTILITIES,Small
CYIENT.NS,COMMERCIAL SERVICES,Small
HFCL.NS,ELECTRONIC TECHNOLOGY,Small
HUDCO.NS,BANK SECTOR,Small
IRB.NS,INFRASTRUCTURE SECTOR,Small
KEI.NS,ELECTRIC PRODUCTS,Small
NCC.NS,INFRASTRUCTURE SECTOR,Small
POONAWALLA.NS,BANK SECTOR,Small
